Links to profile,Name Account/Influencer,Professional Activity,Nationality,Brand,Account description,Number of posts,Number of followers,Number of followings,Verified Status,Publication number,Post description,Post number of comments,Post number of likes,Posting date,Media Type
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,38,G morning☀️👍⚽️,12875,1 077 720,2015-11-27T08:44:12.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,39,⚽️👍✌️,5272,877 065,2015-11-27T12:14:02.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,40,Genetics💪✌️✌⚽️👍🔝😂,21150,1 326 563,2015-11-27T19:26:10.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,41,G night 😜,15096,985 243,2015-11-28T01:22:28.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,42,Lunch 🍲,8809,1 145 457,2015-11-28T13:04:35.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,43,👍⚽️✌️👌,6330,898 768,2015-11-28T17:40:52.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,44,❤️🙏😍,16668,4 580 355,2015-11-29T11:10:49.000Z,Video
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,45,Well done boys 👍⚽️✌️👍🏻👌,10690,1 031 839,2015-11-29T17:36:36.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,46,Travel with my mates ✈️✈️⚽️👍,9587,1 011 498,2015-11-29T18:53:13.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,47,Check out the behind the scenes of my FW15 @CR7_Footwear campaign! www.cr7footwear.com,9802,2 442 081,2015-11-30T15:01:34.000Z,Video
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,48,Good morning ☀️👌⚽️✌️👍,18502,1 307 222,2015-12-01T08:42:13.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,49,✌️👍⚽️💪🏽,5647,936 577,2015-12-01T12:58:11.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,50,"You can now search the web trough my CR7 Keyboard. Download it here:
http://bit.ly/1H6fs6M",3329,390 899,2015-12-01T15:18:56.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,51,👍✌️😜,14618,1 080 536,2015-12-02T11:13:57.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,52,Important win for the team against Serbia. One step closer to #euro2016. #forçaportugal,7487,925 186,2015-03-29T22:42:26.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,53,Family time is precious time and I'm enjoying it.,12292,1 183 137,2015-03-31T15:56:10.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,54,"I love @SacoorBrothersME suits, the quality of the materials, the tailor-made service and the amazing experience in stores. Head down to @SacoorBrothersME and try it yourself.",9292,1 029 494,2015-04-01T11:23:14.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,55,Tomorrow is Champions League day. All set! Vamos @realmadrid,12574,846 365,2015-03-09T16:13:28.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,56,Back on track. On my way to the training.,28432,1 300 774,2015-03-09T09:41:13.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,57,"Commitment, dedication, hard work and drive to succeed are some of the values that I share with @SacoorBrothersME",24282,868 775,2015-03-13T15:14:09.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,58,"Zaid, 9, fled his home in Syria 3 years ago. He has forgotten the names of his old friends. We won’t forget Zaid. #WithSyria http://bit.ly/1xaPNzc",34843,880 387,2015-03-16T13:01:04.000Z,Photo
https://www.instagram.com/cristiano/,Cristiano Ronaldo,Footballeur,Portugal,Non,Cristiano Ronaldo,2 981 publications,252 552 534,459,Vérifié,59,"In case you missed it on @nikefootball’s Snapchat account, I’m excited to launch the new Nike CR7 #Mercurial Superfly! Available now in the Nike Football App.",27250,1 150 008,2015-03-18T14:35:58.000Z,Photo
