Links to profile,Links to publication,Name Account/Influencer,Professional Activity,Account description,Number of posts,Number of followers,Number of followings,Verified Status
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B2lq4OBoch4/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B2r3QXconpt/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B2xFV0PAF6a/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B30SxaVAMho/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B34yvavASn7/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B376xsJIpFl/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3BrTEqgd00/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3C1eYeA-Ce/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3F3RIbo0jp/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3Kkt7cAgS-/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3POaSTAKDK/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3SynoYAQjf/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3W0yJ6g0hD/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3biLF4ANLG/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3ch4bRgiQ9/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3frLIkAx44/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3g371GIdey/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3jqSRKIAB8/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3kNKAIgTJQ/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3sCS8ogVki/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B3uojA_ApjL/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4-W9__AVk8/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B43Nx4BgoKn/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B43lkIBgcD3/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B45HqUSAoLR/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B45lKffgDLr/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
https://www.instagram.com/cristiano/,https://www.instagram.com/p/B4Aoa67IvcQ/,Cristiano Ronaldo,Footballeur,Cristiano Ronaldo  ,2 982 publications,253 140 888,459,Vérifié
