Links to profile,Links to publication,Name Account/Influencer,Professional Activity,Account description,Number of posts,Number of followers,Number of followings,Verified Status,Post description,Post number of comments,Post number of likes,Posting date,Media Type
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B3rrhOcDq5-/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,downtown LA with @maisonvalentino by @inezandvinoodh #ad,12924,"4,930,737",2019-10-16T14:42:05.000Z,Video
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B474drYjakf/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,find @maryphillips 😝,19675,"3,611,826",2019-11-16T18:02:54.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4AuqDDjtUW/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,last year’s halloween 👼🏻,39301,"7,555,661",2019-10-24T18:42:01.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4CcdkUDIp2/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"The @giambattistavalliparis x @hm main collection launches 07.NOV.2019
#Project🖤",25888,"2,719,490",2019-10-25T10:41:30.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4ShAzbjgxe/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,keeping the halloween birthday party alive for mom,7338,"10,741,950",2019-10-31T16:29:51.000Z,Video
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4VVAdCDsev/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,forest fairy,34506,"7,581,342",2019-11-01T18:41:56.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4VVc8ODxFS/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,forest fairy and friends,27374,"5,805,751",2019-11-01T18:45:49.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4c0is-DPuz/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,yesterday we all took our cars to the track and i learned how to drift :)))) SWIPE cuz this shit makes me happy,18479,"3,910,986",2019-11-04T16:32:10.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4dcNo8DZ4d/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,thank you for the love,8342,"3,413,889",2019-11-04T22:18:49.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4flU2tjo4v/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"The @giambattistavalliparis x @hm collection is made of dreams. happy to be part of #Project🖤
The main collection launches 07.NOV.2019",19855,"2,075,438",2019-11-05T18:16:56.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4vCdF-jFri/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,The holidays are starting early this year with @moon. The new Candy Cane Whitening Pen just launched and it's the perfect little gift! #moon_partner,8834,"16,717,140",2019-11-11T18:20:19.000Z,Video
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B4xX4jGjsH4/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,new December @britishvogue 💙 by @alasdairmclellan @edward_enninful,17981,"2,424,126",2019-11-12T16:05:48.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B589-CXjr3z/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,Styling made easy with @formawellbeauty !! #FormawellBeautyxKendallJenner,2770,"1,198,938",2019-12-12T00:41:38.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B59QoOKD4ab/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,@calvinklein #MYCALVINS #CKHOLIDAY,19987,"4,481,303",2019-12-12T03:24:41.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5ImAwUj_jO/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,remember this?,29995,"5,630,693",2019-11-21T16:31:47.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5RRQCgjCEH/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,everyone in favor of Fai and i starting a family say “I” ✋🏼,62561,"6,887,207",2019-11-25T01:23:32.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5dHYnGjznp/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,coziest weather,18541,"6,718,494",2019-11-29T15:48:13.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5oePLmjofq/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,went to @tiffanyandco for the holidays and put together my favorites for my holiday wish list. see more in my stories! #veryverytiffany #tiffanypartner,11165,"3,392,162",2019-12-04T01:39:33.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5q3PtwD_Fg/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,friendssss,16179,"6,621,743",2019-12-04T23:56:33.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5tIX0PDxQP/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,🤖,10807,"5,348,482",2019-12-05T21:04:41.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5tjIK_j_9V/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,loving this new @longchamp bag! #longchamp_ambassador,5187,"2,041,801",2019-12-06T00:58:29.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B5v31knDAlD/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,jellyfish and mosquito’s,17111,"4,459,177",2019-12-06T22:37:56.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B6HGLNujO5x/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,flashback to my birthday but also @zazaworld episode 9 is out @applemusic @beats1official,4359,"765,869",2019-12-15T23:05:45.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B6ThQK0D46T/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"In bed with me.

I answered some questions in bed with @calvinklein and @yungtaco. Go watch more at CK’s YouTube channel & subscribe. #MYCALVINS",19638,"15,379,488",2019-12-20T18:55:52.000Z,Video
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B6_Iq0zjEJh/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,❤️ you @khloekardashian @kyliejenner,14507,"16,171,666",2020-01-06T17:27:33.000Z,Video
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B6gh5m1j0qv/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,video proof,41860,"13,804,352",2019-12-25T20:09:21.000Z,Video
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B74V6VMjsbZ/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,wingspan,28406,"29,511,712",2020-01-28T22:38:33.000Z,Video
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B7G5G4hjEOU/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,back to work,22577,"7,076,118",2020-01-09T17:42:57.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B7HGMCrDFyU/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"British Vogue by @alasdairmclellan
@edward_enninful",25780,"4,398,384",2020-01-09T19:37:15.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B7UC6PIjDhp/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,NEW @versace CAMPAIGN BY @mertalas & @macpiggott,6089,"1,591,149",2020-01-14T20:18:44.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B7WbYnSj0l5/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,howdy,18059,"1,633,378",2020-01-15T18:31:05.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B7zO3QUDlnt/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"sadly, i never personally knew you, but knowing i’m capable of all these emotions for someone i only knew from a far makes me feel more human than ever. you had the magical ability of bringing people together, through sports and through your soul. we feel you so heavily today, i know you can feel us too. rest peacefully Kobe, Gigi and the rest of the passengers we lost today. my heart truly goes out to all the families. give a big hug to the people you love today and always",10802,"5,269,920",2020-01-26T22:59:39.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B89EQtjjyns/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,backstage at @versace by @gregswalesart,15027,"4,251,034",2020-02-24T15:10:48.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B8IR4dJjhLL/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,No caption,121759,"5,223,797",2020-02-04T03:10:04.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B8MR4afDYxX/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"NEW @burberry campaign by @inezandvinoodh #BurberrySpringSummer20
thank you thank you @riccardotisci17 !!! #ad",13653,"3,941,405",2020-02-05T16:27:02.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B8cAeNNDNe_/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"the other day at @longchamp
what a beautiful show! #longchamp_ambassador",8921,"3,881,616",2020-02-11T19:02:45.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B8eWtWhj1mY/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,how I spent a day off with @voguemagazine x @stuartweitzman 🧼 #ad,11384,"7,708,143",2020-02-12T16:58:28.000Z,Video
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B8sIwGFDQqR/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,after Burberry,5344,"3,189,706",2020-02-18T01:22:57.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B8t4CfODaaX/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,🤍🤍🤍 @burberry @riccardotisci17,9855,"2,292,492",2020-02-18T17:35:24.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B8wG1znD040/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"@garage_magazine by @campbelladdy
@mauriziocattelan
@gabriellak_j
@guiducci",2396,"1,419,081",2020-02-19T14:23:13.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B8wG3hQDfap/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,NEW @garage_magazine COVER by @campbelladdy @mauriziocattelan,8316,"2,833,252",2020-02-19T14:23:27.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B8wG6gVDrxh/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,"@garage_magazine by @campbelladdy
@mauriziocattelan
@gabriellak_j
@guiducci",22624,"4,722,543",2020-02-19T14:23:51.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B8ylex9DWcR/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,New @liujoglobal campaign by @mertalas & @macpiggott #BORNIN1995 #liujoss20 #ad,6799,"2,041,473",2020-02-20T13:29:26.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B95NNkmDZSO/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,🪐,19211,"4,122,071",2020-03-18T23:43:27.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B9AjUr4j9tj/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,not not naked,12295,"4,008,145",2020-02-25T23:39:57.000Z,Photo
https://www.instagram.com/kendalljenner/,https://www.instagram.com/p/B9EslwHD7Tp/,Kendall Jenner,Personnalité de téléréalité et modèle,Kendall  ,"3,017 posts","147,421,196",224,Verified,i love my @calvinklein. deal with it. #MYCALVINS #ad,6230,"9,978,620",2020-02-27T14:18:44.000Z,Video
